Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
36.001,mousemove,772,322,,,,,,,1536,738,,,FALSE
36.662,click,770,273,button,,inline-flex items-center justify-center whitespace-nowrap text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-primary text-primary-foreground hover:bg-primary/90 h-9 rounded-md px-3,,,,1536,738,,,FALSE
39.294,mousemove,770,275,,,,,,,1536,738,,,FALSE
39.396,mousemove,770,317,,,,,,,1536,738,,,FALSE
39.888,mousemove,772,335,,,,,,,1536,738,,,FALSE
40.058,mousemove,772,337,,,,,,,1536,738,,,FALSE
40.307,mousemove,774,347,,,,,,,1536,738,,,FALSE
40.414,mousemove,768,346,,,,,,,1536,738,,,FALSE
40.868,mousemove,765,345,,,,,,,1536,738,,,FALSE
47.621,mousemove,746,341,,,,,,,1536,738,,,FALSE
48.788,mousemove,738,341,,,,,,,1536,738,,,FALSE
48.903,mousemove,734,345,,,,,,,1536,738,,,FALSE
51.270,mousemove,732,348,,,,,,,1536,738,,,FALSE
51.378,mousemove,748,373,,,,,,,1536,738,,,FALSE
51.587,mousemove,760,388,,,,,,,1536,738,,,FALSE
51.693,mousemove,764,409,,,,,,,1536,738,,,FALSE
51.796,mousemove,761,444,,,,,,,1536,738,,,FALSE
51.921,mousemove,753,452,,,,,,,1536,738,,,FALSE
52.032,mousemove,748,453,,,,,,,1536,738,,,FALSE
52.374,mousemove,745,455,,,,,,,1536,738,,,FALSE
52.552,mousemove,744,455,,,,,,,1536,738,,,FALSE
52.944,click,744,454,input,,rounded,,,,1536,738,,,FALSE
53.188,mousemove,744,455,,,,,,,1536,738,,,FALSE
53.293,mousemove,784,469,,,,,,,1536,738,,,FALSE
53.396,mousemove,920,505,,,,,,,1536,738,,,FALSE
53.957,mousemove,1118,545,,,,,,,1536,738,,,FALSE
54.063,mousemove,1232,557,,,,,,,1536,738,,,FALSE
54.166,mousemove,1288,564,,,,,,,1536,738,,,FALSE
54.269,mousemove,1316,571,,,,,,,1536,738,,,FALSE
54.372,mousemove,1342,615,,,,,,,1536,738,,,FALSE
54.989,mousemove,1343,616,,,,,,,1536,738,,,FALSE
55.477,click,1347,619,svg,,[object SVGAnimatedString],,,,1536,738,,,FALSE
55.499,mousemove,1348,619,,,,,,,1536,738,,,FALSE
55.766,mousemove,1346,619,,,,,,,1536,738,,,FALSE
55.869,mousemove,1252,537,,,,,,,1536,738,,,FALSE
55.972,mousemove,1088,371,,,,,,,1536,738,,,FALSE
56.075,mousemove,1006,317,,,,,,,1536,738,,,FALSE
