Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
41.553,mousemove,409,496,,,,,,,1536,738,,,TRUE
41.660,mousemove,428,487,,,,,,,1536,738,,,TRUE
41.877,mousemove,426,485,,,,,,,1536,738,,,TRUE
41.980,mousemove,393,415,,,,,,,1536,738,,,TRUE
42.083,mousemove,352,95,,,,,,,1536,738,,,TRUE
42.468,tab-switch,,,,,,,,,,,blur,,TRUE
42.186,mousemove,319,9,,,,,,,1536,738,,,TRUE
45.414,tab-switch,,,,,,,,,,,focus,,TRUE
45.697,mousemove,412,5,,,,,,,1536,738,,,TRUE
45.805,mousemove,729,355,,,,,,,1536,738,,,TRUE
46.134,mousemove,906,432,,,,,,,1536,738,,,TRUE
46.241,mousemove,944,466,,,,,,,1536,738,,,TRUE
46.574,click,978,479,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,TRUE
46.927,click,978,479,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,TRUE
47.254,mousemove,978,481,,,,,,,1536,738,,,TRUE
47.356,mousemove,997,523,,,,,,,1536,738,,,TRUE
47.465,mousemove,997,526,,,,,,,1536,738,,,TRUE
47.542,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,a,,,,,,,TRUE
47.600,mousemove,994,526,,,,,,,1536,738,,,TRUE
47.702,mousemove,993,526,,,,,,,1536,738,,,TRUE
48.077,mousemove,990,525,,,,,,,1536,738,,,TRUE
48.185,mousemove,1001,547,,,,,,,1536,738,,,TRUE
48.302,mousemove,1020,563,,,,,,,1536,738,,,TRUE
48.405,mousemove,1021,560,,,,,,,1536,738,,,TRUE
48.532,mousemove,1020,527,,,,,,,1536,738,,,TRUE
48.722,mousemove,1019,527,,,,,,,1536,738,,,TRUE
49.087,mousemove,1017,524,,,,,,,1536,738,,,TRUE
49.214,mousemove,1012,521,,,,,,,1536,738,,,TRUE
49.380,mousemove,1011,520,,,,,,,1536,738,,,TRUE
49.514,mousemove,1007,519,,,,,,,1536,738,,,TRUE
50.586,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,TRUE
52.392,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,1,,,,,,,TRUE
52.966,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,TRUE
53.152,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,t,,,,,,,TRUE
53.365,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,h,,,,,,,TRUE
