Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
49.509,mousemove,1374,489,,,,,,,1536,738,,,FALSE
49.612,mousemove,1096,389,,,,,,,1536,738,,,FALSE
49.885,mousemove,996,353,,,,,,,1536,738,,,FALSE
49.988,mousemove,872,267,,,,,,,1536,738,,,FALSE
50.165,mousemove,788,213,,,,,,,1536,738,,,FALSE
50.267,mousemove,779,177,,,,,,,1536,738,,,FALSE
50.724,click,776,165,button,,inline-flex items-center justify-center whitespace-nowrap text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-primary text-primary-foreground hover:bg-primary/90 h-9 rounded-md px-3,,,,1536,738,,,FALSE
50.879,mousemove,775,167,,,,,,,1536,738,,,FALSE
50.982,mousemove,775,229,,,,,,,1536,738,,,FALSE
52.405,mousemove,780,263,,,,,,,1536,738,,,FALSE
52.693,click,782,263,p,,text-sm,,,,1536,738,,,FALSE
52.869,click,782,263,p,,text-sm,,,,1536,738,,,FALSE
53.064,click,782,263,p,,text-sm,,,,1536,738,,,FALSE
53.981,mousemove,783,263,,,,,,,1536,738,,,FALSE
54.085,mousemove,856,283,,,,,,,1536,738,,,FALSE
54.740,mousemove,857,283,,,,,,,1536,738,,,FALSE
54.854,mousemove,859,277,,,,,,,1536,738,,,FALSE
55.561,click,859,277,div,,p-4 bg-muted rounded-lg,,,,1536,738,,,FALSE
55.652,mousemove,858,277,,,,,,,1536,738,,,FALSE
55.758,mousemove,763,254,,,,,,,1536,738,,,FALSE
55.964,mousemove,759,253,,,,,,,1536,738,,,FALSE
56.073,mousemove,739,230,,,,,,,1536,738,,,FALSE
56.223,mousemove,736,227,,,,,,,1536,738,,,FALSE
56.416,mousemove,735,228,,,,,,,1536,738,,,FALSE
56.521,mousemove,789,323,,,,,,,1536,738,,,FALSE
56.624,mousemove,859,389,,,,,,,1536,738,,,FALSE
56.983,click,865,396,div,,p-4 bg-muted rounded-lg,,,,1536,738,,,FALSE
56.988,mousemove,865,395,,,,,,,1536,738,,,FALSE
57.091,mousemove,869,389,,,,,,,1536,738,,,FALSE
57.194,mousemove,883,342,,,,,,,1536,738,,,FALSE
57.839,mousemove,890,311,,,,,,,1536,738,,,FALSE
58.212,copy,,,,,,,,,,,copy,"Question:
Which of the following is A classification Algorithm

Options:

Linear Regression

Logisti",FALSE
58.212,keydown,,,body,,,c,,,,,,,FALSE
59.285,mousemove,888,310,,,,,,,1536,738,,,TRUE
59.422,mousemove,874,306,,,,,,,1536,738,,,TRUE
59.524,mousemove,850,295,,,,,,,1536,738,,,TRUE
59.627,mousemove,812,286,,,,,,,1536,738,,,TRUE
59.730,mousemove,760,274,,,,,,,1536,738,,,TRUE
59.834,mousemove,612,210,,,,,,,1536,738,,,TRUE
60.144,mousemove,524,169,,,,,,,1536,738,,,TRUE
60.249,mousemove,472,38,,,,,,,1536,738,,,TRUE
61.315,tab-switch,,,,,,,,,,,blur,,TRUE
65.532,tab-switch,,,,,,,,,,,focus,,TRUE
65.995,mousemove,214,1,,,,,,,1536,738,,,TRUE
66.098,mousemove,508,265,,,,,,,1536,738,,,TRUE
66.229,mousemove,593,329,,,,,,,1536,738,,,TRUE
